Transposon_Name	orientation_is_5prime	Transposon_min_Start	Transposon_max_End	Transposon_Family	Transposon_Super_Family
AT1TE44550	true	13601553	13601688	BRODYAGA2	DNA/MuDR
AT1TE42560	false	13039450	13039584	RathE1_cons	RathE1_cons
AT1TE45375	false	13840025	13840159	ATENSPM3	DNA/En-Spm
AT1TE36940	false	11421959	11422070	ARNOLD1	DNA/MuDR
AT1TE55290	false	16732011	16732148	TA11	LINE/L1
AT1TE42855	false	13121287	13121425	ATCOPIA71	LTR/Copia
AT1TE97160	true	29702604	29702747	ATLINE1_4	LINE/L1
AT1TE54655	true	16584101	16586369	ATHILA5	LTR/Gypsy
AT1TE40105	true	12330654	12330798	ATREP5	RC/Helitron
AT1TE27405	true	8490641	8492849	ATLINEIII	LINE/L1
AT1TE74420	true	22562536	22562639	BOMZH2	DNA/MuDR
AT1TE29530	false	9163143	9163284	ATHILA7	LTR/Gypsy
AT1TE58065	true	17516123	17516267	ATDNAI27T9B	DNA/MuDR
AT1TE35845	true	11093758	11093901	ATHPOGON2	DNA/Pogo
AT1TE40695	true	12501186	12503392	ATREP10D	RC/Helitron
AT1TE66120	false	20004936	20005076	VANDAL1	DNA/MuDR
AT1TE41825	false	12851056	12851196	ATHATN6	DNA/HAT
AT1TE64950	false	19636320	19636343	HELITRONY1D	RC/Helitron
AT1TE58720	true	17685223	17685243	ATREP15	RC/Helitron
AT1TE70720	false	21425429	21425569	ARNOLD2	DNA/MuDR
AT1TE22740	false	7034889	7034944	ATREP5	RC/Helitron
AT1TE51620	false	15674413	15674555	ATMU10	DNA/MuDR
AT1TE41915	false	12877159	12877301	HELITRONY1A	RC/Helitron
AT1TE26120	true	8114685	8116894	ATREP3	RC/Helitron
AT1TE20920	true	6454531	6454676	HELITRONY3	RC/Helitron
AT1TE62145	true	18747138	18747283	ATREP5	RC/Helitron
AT1TE51895	false	15761281	15761331	ATENSPM2	DNA/En-Spm
AT1TE81300	true	24752624	24752757	ATREP15	RC/Helitron
AT1TE76035	true	23065703	23065848	ATREP10D	RC/Helitron
AT1TE37650	true	11634521	11634652	ATCOPIA87	LTR/Copia
AT1TE65780	false	19901340	19901482	ATCOPIA48	LTR/Copia
AT1TE66390	true	20090228	20090251	ATCOPIA8B	LTR/Copia
AT1TE04080	false	1251630	1251772	ATREP12	RC/Helitron
AT1TE02360	false	726695	726837	ATENSPM1A	DNA/En-Spm
AT1TE65105	true	19700965	19701109	RathE2_cons	RathE2_cons
AT1TE67165	false	20322182	20322322	ATREP3	RC/Helitron
AT1TE58165	true	17547728	17547872	ATCOPIA36	LTR/Copia
AT1TE57150	true	17239521	17239651	BRODYAGA1A	DNA/MuDR
AT1TE81855	false	24918427	24918569	ATCOPIA13	LTR/Copia
AT1TE58140	true	17544483	17544627	ATCOPIA36	LTR/Copia
AT1TE46425	true	14139734	14139876	ATDNAI27T9A	DNA/MuDR
AT1TE06475	false	1976073	1976109	ATREP10D	RC/Helitron
AT1TE30860	true	9582394	9582442	ATREP10D	RC/Helitron
AT1TE72605	false	21990870	21990894	ATMUNX1	DNA/MuDR
AT1TE63935	false	19288860	19288998	ATREP3	RC/Helitron
AT1TE41955	false	12888717	12888779	ATLINE1_4	LINE/L1
AT1TE23350	false	7224970	7225108	ATHATN3	DNA/HAT
AT1TE75650	true	22953881	22954021	RathE1_cons	RathE1_cons
AT1TE84625	false	25811309	25811447	ATREP10B	RC/Helitron
AT1TE44640	false	13636666	13636804	HELITRONY2	RC/Helitron
AT1TE53235	true	16156865	16156897	RathE1_cons	RathE1_cons
AT1TE57925	true	17477615	17477755	ATSINE2A	SINE
AT1TE37870	false	11692896	11693034	ATGP3	LTR/Gypsy
AT1TE37865	false	11692362	11692500	ATGP3	LTR/Gypsy
AT1TE75440	true	22888530	22888670	ATMU5	DNA/MuDR
AT1TE20320	false	6273768	6273906	TAG2	DNA/HAT
AT1TE01900	true	587269	587326	ATREP10D	RC/Helitron
AT1TE62205	false	18766873	18766901	ATREP10B	RC/Helitron
AT1TE34005	false	10524540	10524678	ATREP15	RC/Helitron
AT1TE55385	true	16760358	16760497	RathE1_cons	RathE1_cons
AT1TE58735	false	17687585	17687723	ATCOPIA24	LTR/Copia
AT1TE17550	true	5436579	5436720	ATREP10D	RC/Helitron
AT1TE80650	true	24553446	24553577	HELITRONY1D	RC/Helitron
AT1TE71485	false	21659915	21660054	RathE1_cons	RathE1_cons
AT1TE49315	false	15068999	15069139	ATHILA2	LTR/Gypsy
AT1TE62210	true	18766902	18767011	ATREP10B	RC/Helitron
AT1TE31755	true	9863024	9863166	ATREP13	RC/Helitron
AT1TE56665	true	17116653	17116793	ATTIRTA1	DNA/Tc1
AT1TE78780	false	23947053	23947192	HELITRONY3A	RC/Helitron
AT1TE83185	true	25344309	25344450	ATHATN2	DNA/HAT
AT1TE15780	false	4872080	4872219	HELITRONY1D	RC/Helitron
AT1TE62395	false	18816393	18816504	HELITRON2	RC/Helitron
AT1TE95445	true	29180155	29180294	ATHPOGON3	DNA/Pogo
AT1TE40175	false	12346862	12347001	ATMU7	DNA/MuDR
AT1TE89980	false	27498796	27498935	ATREP1	RC/Helitron
AT1TE72500	false	21957836	21957975	RathE1_cons	RathE1_cons
AT1TE43650	false	13351631	13351770	ATLINEIII	LINE/L1
AT1TE44135	true	13493209	13493350	ATDNA12T3_2	DNA
AT1TE45535	false	13879891	13880023	ATREP4	RC/Helitron
AT1TE40765	true	12525450	12525577	HELITRONY1E	RC/Helitron
AT1TE46615	true	14187335	14187468	VANDAL7	DNA/MuDR
AT1TE62940	true	19000899	19000931	HELITRONY1D	RC/Helitron
AT1TE52535	true	15939330	15941469	ATREP3	RC/Helitron
AT1TE42360	true	12990932	12991052	ATCOPIA96	LTR/Copia
AT1TE30330	true	9412334	9412459	RathE1_cons	RathE1_cons
AT1TE95680	false	29244719	29244808	BRODYAGA1A	DNA/MuDR
AT1TE65935	false	19945688	19945811	ATREP10D	RC/Helitron
AT1TE53355	false	16182986	16183109	HELITRONY1D	RC/Helitron
AT1TE42305	false	12975610	12975733	ATREP9	RC/Helitron
AT1TE29610	true	9188639	9188764	ATREP15	RC/Helitron
AT1TE52495	false	15926757	15926879	ATLINE1A	LINE/L1
AT1TE51500	true	15642237	15642279	HELITRON4	RC/Helitron
AT1TE50880	true	15420827	15420951	ATHILA6A	LTR/Gypsy
AT1TE49565	false	15123084	15123199	ATREP18	DNA
AT1TE55100	true	16699413	16701967	ATREP4	RC/Helitron
AT1TE18280	true	5657195	5657320	HELITRONY3	RC/Helitron
AT1TE53570	true	16264843	16264968	ATREP10B	RC/Helitron
AT1TE47120	true	14341671	14341711	ATHILA0_I	LTR/Gypsy
AT1TE59175	false	17823604	17823728	ATREP15	RC/Helitron
AT1TE72360	false	21929379	21929504	HELITRONY3	RC/Helitron
AT1TE53070	false	16115818	16115943	ATCOPIA87	LTR/Copia
AT1TE79845	false	24286883	24287008	ATCOPIA23	LTR/Copia
AT1TE43295	true	13245270	13247416	ATREP4	RC/Helitron
AT1TE47620	true	14463536	14463664	ATHILA4A	LTR/Gypsy
AT1TE75250	true	22829373	22829400	HELITRON2	RC/Helitron
AT1TE37140	true	11479601	11479728	ATDNA12T3_2	DNA
AT1TE40760	true	12524947	12525074	ATLINE1_5	LINE/L1
AT1TE54695	false	16595104	16595133	TNAT2A	DNA
AT1TE43255	false	13238343	13238467	VANDAL2	DNA/MuDR
AT1TE86430	true	26394244	26394371	ATLINE1A	LINE/L1
AT1TE52440	false	15918026	15918148	ATMUNX1	DNA/MuDR
AT1TE58080	true	17525127	17525254	ATCOPIA15	LTR/Copia
AT1TE71925	false	21788068	21788193	ATREP6	RC/Helitron
AT1TE56950	true	17188286	17188413	SIMPLEGUY1	DNA/Harbinger
AT1TE43060	true	13193026	13193066	ARNOLD2	DNA/MuDR
AT1TE49505	false	15113100	15113215	ATREP18	DNA
AT1TE37485	true	11578166	11578290	ATLANTYS3	LTR/Gypsy
AT1TE70990	true	21508830	21508954	RathE3_cons	RathE3_cons
AT1TE66400	false	20093806	20093926	HELITRONY1D	RC/Helitron
AT1TE45835	true	13964706	13964828	TNAT1A	DNA
AT1TE43475	true	13303378	13303489	META1	LTR/Copia
AT1TE68770	false	20823565	20823686	ATREP10B	RC/Helitron
AT1TE64190	false	19385772	19385868	META1	LTR/Copia
AT1TE52235	false	15879298	15879390	META1	LTR/Copia
AT1TE73060	true	22125693	22125815	ATHATN6	DNA/HAT
AT1TE10550	true	3247448	3247570	HELITRONY3A	RC/Helitron
AT1TE41370	false	12690264	12690354	HELITRONY3	RC/Helitron
AT1TE22460	false	6951418	6951538	ATDNAI27T9A	DNA/MuDR
AT1TE13360	true	4109989	4110103	AT9NMU1	DNA/MuDR
AT1TE58820	true	17708150	17710775	HELITRONY3	RC/Helitron
AT1TE62135	false	18746044	18746141	ATREP3	RC/Helitron
AT1TE63155	true	19057235	19057338	ATREP10D	RC/Helitron
AT1TE41295	false	12646096	12646216	RathE2_cons	RathE2_cons
AT1TE42815	true	13105720	13105842	ATREP4	RC/Helitron
AT1TE09705	true	2986951	2987018	VANDAL8	DNA/MuDR
AT1TE42785	true	13097397	13097431	ATHPOGON2	DNA/Pogo
AT1TE26410	false	8203657	8203778	ATTIRX1A	DNA
AT1TE63875	false	19268168	19268282	HELITRONY1D	RC/Helitron
AT1TE02460	true	758410	758534	HELITRONY1A	RC/Helitron
AT1TE18300	false	5659383	5659406	ATREP10B	RC/Helitron
AT1TE14330	true	4413086	4413210	ATREP5	RC/Helitron
AT1TE49890	false	15199556	15199643	ATREP18	DNA
AT1TE49645	false	15134899	15135014	ATREP18	DNA
AT1TE84840	true	25889216	25889340	ATHAT1	DNA/HAT
AT1TE85280	false	26027636	26027758	ATRE1	LTR/Copia
AT1TE58170	true	17548059	17548115	HELITRONY1E	RC/Helitron
AT1TE83495	true	25448292	25448415	TAG1	DNA/HAT
AT1TE60170	false	18150437	18150493	HELITRON4	RC/Helitron
AT1TE38845	false	11993457	11993578	ATENSPM1A	DNA/En-Spm
AT1TE92170	true	28163735	28163858	ATENSPM1A	DNA/En-Spm
AT1TE53265	true	16162425	16164556	ATREP4	RC/Helitron
AT1TE16320	false	5044510	5044605	ATREP3	RC/Helitron
AT1TE67780	true	20513545	20513637	ATDNA2T9C	DNA/MuDR
AT1TE51665	true	15685432	15687581	ATENSPM3	DNA/En-Spm
AT1TE59425	true	17902473	17902550	HELITRONY3	RC/Helitron
AT1TE35960	true	11126412	11126449	ATREP15	RC/Helitron
AT1TE87760	false	26818089	26818218	LIMPET1	DNA/MuDR
AT1TE81720	false	24877098	24877222	TAG3N1	DNA/HAT
AT1TE75420	true	22881472	22881603	DT1	DNA/Mariner
AT1TE45985	true	14006701	14006832	ATDNA12T3_2	DNA
AT1TE51460	false	15634378	15634434	ARNOLDY1	DNA/MuDR
AT1TE55410	false	16768760	16768889	ATLINE1A	LINE/L1
AT1TE55525	false	16791724	16791852	ATTIRX1D	DNA
AT1TE56410	false	17031257	17031281	HELITRON4	RC/Helitron
AT1TE41285	false	12642435	12642564	ATCOPIA72	LTR/Copia
AT1TE46705	true	14233182	14233216	ATHILA	LTR/Gypsy
AT1TE45925	true	13990141	13990253	RathE3_cons	RathE3_cons
AT1TE83860	false	25564282	25564412	ATREP4	RC/Helitron
AT1TE40970	false	12574466	12574595	LIMPET1	DNA/MuDR
AT1TE65860	false	19924548	19924571	ATREP10B	RC/Helitron
AT1TE50940	false	15431674	15431701	ATREP18	DNA
AT1TE37915	false	11704897	11705026	VANDAL3	DNA/MuDR
AT1TE58520	true	17632243	17632374	ATREP11	RC/Helitron
AT1TE35835	true	11090506	11090638	ATLINE1_3A	LINE/L1
AT1TE72160	false	21872093	21872178	HELITRONY1D	RC/Helitron
AT1TE69680	true	21097915	21097971	ATTIR16T3A	DNA
AT1TE96435	true	29480214	29480347	ATMU6N1	DNA/MuDR
AT1TE45345	false	13827364	13827495	ATCOPIA42	LTR/Copia
AT1TE69785	true	21121192	21121267	ATREP3	RC/Helitron
AT1TE81160	true	24709061	24709194	ATLINE1_3A	LINE/L1
AT1TE85990	true	26253997	26254130	ATLINE1_3A	LINE/L1
AT1TE51505	true	15642280	15642361	ATREP14	RC/Helitron
AT1TE57880	true	17465296	17465429	META1	LTR/Copia
AT1TE95985	false	29342234	29342365	ATHATN6	DNA/HAT
AT1TE34475	true	10666053	10666185	HELITRONY3A	RC/Helitron
AT1TE54505	true	16533313	16533445	ATCOPIA2	LTR/Copia
AT1TE20910	false	6450341	6450389	ATDNA2T9C	DNA/MuDR
AT1TE53715	true	16317249	16317381	BRODYAGA2	DNA/MuDR
AT1TE80820	false	24604924	24604957	TNAT1A	DNA
AT1TE63195	true	19073478	19073610	ATMUN1	DNA/MuDR
AT1TE90320	true	27603733	27603865	ARNOLD2	DNA/MuDR
AT1TE50290	true	15277161	15277306	ATREP18	DNA
AT1TE23620	false	7313962	7314091	ATDNAI27T9C	DNA/MuDR
AT1TE49685	true	15142842	15142872	ATENSPM9	DNA/En-Spm
AT1TE11810	false	3630277	3630404	ATDNAI27T9A	DNA/MuDR
AT1TE80405	true	24483924	24484053	ATREP5	RC/Helitron
AT1TE42765	false	13089744	13089824	ARNOLDY2	DNA/MuDR
AT1TE41095	true	12604201	12604330	ATREP6	RC/Helitron
AT1TE90575	true	27677420	27677549	ATREP1	RC/Helitron
AT1TE02985	false	913218	913345	BRODYAGA2	DNA/MuDR
AT1TE54165	false	16431065	16431612	ATDNA12T3_2	DNA
AT1TE56370	false	17019635	17019761	TNAT2A	DNA
AT1TE75310	true	22849916	22850044	ATENSPM10	DNA/En-Spm
AT1TE44780	false	13684550	13684676	ATLINE1A	LINE/L1
AT1TE41530	false	12739497	12739623	BRODYAGA1A	DNA/MuDR
AT1TE72230	true	21891494	21891623	ATENSPM5	DNA/En-Spm
AT1TE39140	false	12076730	12076856	ATGP9B	LTR/Gypsy
AT1TE25910	false	8053168	8053294	ATCOPIA59	LTR/Copia
AT1TE00020	false	16883	17009	ATREP4	RC/Helitron
AT1TE35965	true	11126450	11126578	HELITRONY3	RC/Helitron
AT1TE42435	false	13017803	13017883	ATREP3	RC/Helitron
AT1TE65370	false	19769833	19769960	ATREP11	RC/Helitron
AT1TE37975	true	11720281	11722435	ATREP4	RC/Helitron
AT1TE36160	true	11188283	11188413	ATCOPIA28	LTR/Copia
AT1TE65260	true	19744792	19744922	TNAT1A	DNA
AT1TE04620	true	1417569	1417699	ATDNA1T9A	DNA/MuDR
AT1TE50780	true	15383890	15384020	ATLANTYS2	LTR/Gypsy
AT1TE50320	true	15285786	15285916	ATLANTYS2	LTR/Gypsy
AT1TE52010	false	15792669	15794826	ATENSPM2	DNA/En-Spm
AT1TE73305	true	22192617	22192718	ATREP3	RC/Helitron
AT1TE81085	false	24688473	24688564	ATREP10B	RC/Helitron
AT1TE04700	true	1441515	1441645	ATDNAI27T9A	DNA/MuDR
AT1TE34455	true	10655834	10655963	ARNOLD1	DNA/MuDR
AT1TE74095	true	22456417	22456546	ATTIRX1C	DNA
AT1TE63720	false	19231980	19232107	ATREP10D	RC/Helitron
AT1TE39150	false	12080698	12080826	ATLINE2	LINE/L1
AT1TE52895	true	16059165	16061322	ATCOPIA28	LTR/Copia
AT1TE21830	false	6753991	6754119	ATDNAI27T9A	DNA/MuDR
AT1TE53695	false	16307595	16307723	HELITRONY3	RC/Helitron
AT1TE10930	false	3360540	3360625	ATCOPIA78	LTR/Copia
AT1TE40160	true	12343258	12343403	ATCOPIA95	LTR/Copia
AT1TE64435	false	19464947	19465090	ATREP15	RC/Helitron
AT1TE83935	false	25590911	25591070	TAG1	DNA/HAT
AT1TE45135	true	13768754	13777586	ATHILA2	LTR/Gypsy
AT1TE72015	true	21822852	21823013	ATCOPIA87	LTR/Copia
AT1TE80815	true	24603780	24603941	ATREP10D	RC/Helitron
AT1TE31200	false	9691304	9691418	VANDAL2N1	DNA/MuDR
AT1TE53575	false	16265821	16265980	ATHILA8A	LTR/Gypsy
AT1TE87255	false	26650761	26650921	RathE1_cons	RathE1_cons
AT1TE04675	false	1430869	1431028	TAG2	DNA/HAT
AT1TE12725	true	3910702	3910762	HELITRON4	RC/Helitron
AT1TE36240	true	11207628	11207742	ATREP1	RC/Helitron
AT1TE49680	true	15142453	15142841	ATENSPM6	DNA/En-Spm
AT1TE40315	true	12394285	12394446	RathE1_cons	RathE1_cons
AT1TE22855	true	7067629	7067790	ATLANTYS1	LTR/Gypsy
AT1TE16265	true	5025647	5025808	ATIS112A	DNA/Harbinger
AT1TE59555	false	17944754	17944913	HELITRON1	RC/Helitron
AT1TE64010	true	19316277	19316439	HELITRONY3	RC/Helitron
AT1TE42420	false	13012651	13012798	ATIS112A	DNA/Harbinger
AT1TE53640	true	16291575	16291737	ATREP18	DNA
AT1TE42350	true	12987699	12987862	ATGP9B	LTR/Gypsy
AT1TE30040	false	9317325	9317486	HELITRONY1D	RC/Helitron
AT1TE95620	true	29228168	29228331	ATCOPIA72	LTR/Copia
AT1TE90315	false	27603352	27603513	ATIS112A	DNA/Harbinger
AT1TE81605	false	24847019	24847152	ATDNA2T9C	DNA/MuDR
AT1TE80035	true	24350741	24352986	VANDAL1N1	DNA/MuDR
AT1TE64470	true	19473237	19473400	ATREP11	RC/Helitron
AT1TE75775	false	22991678	22991839	ATREP3	RC/Helitron
AT1TE44025	true	13458208	13458371	HELITRONY1E	RC/Helitron
AT1TE53340	true	16181651	16181683	ATCOPIA45	LTR/Copia
AT1TE71910	true	21786594	21786755	ATCOPIA87	LTR/Copia
AT1TE38525	true	11887095	11887151	ARNOLD2	DNA/MuDR
AT1TE54960	true	16673532	16673695	ATCOPIA68	LTR/Copia
AT1TE46715	true	14236845	14237008	ATHILA2	LTR/Gypsy
AT1TE50725	false	15366244	15366405	ATREP18	DNA
AT1TE70960	false	21502044	21502166	HELITRONY3	RC/Helitron
AT1TE40025	true	12307524	12307633	ATREP10D	RC/Helitron
AT1TE66060	false	19986878	19987036	ATHPOGON1	DNA/Pogo
AT1TE88225	false	26962997	26963155	HELITRONY1D	RC/Helitron
AT1TE78760	false	23939761	23939917	ATREP11	RC/Helitron
AT1TE53130	true	16138078	16138097	BRODYAGA1A	DNA/MuDR
AT1TE69270	true	20972074	20974323	ATREP5	RC/Helitron
AT1TE68600	false	20773136	20773292	ATHAT1	DNA/HAT
AT1TE80510	true	24514628	24514787	ATMUN1	DNA/MuDR
AT1TE93285	false	28520027	28520136	HELITRONY3	RC/Helitron
AT1TE01400	true	431917	432073	TAG2	DNA/HAT
AT1TE36620	true	11321177	11321335	ATREP11	RC/Helitron
AT1TE39350	false	12136448	12136604	ATREP9	RC/Helitron
AT1TE57700	true	17413147	17413305	TAG2	DNA/HAT
AT1TE52405	true	15910543	15910701	ATGP6	LTR/Gypsy
AT1TE82670	true	25187855	25188014	HELITRONY3	RC/Helitron
AT1TE89970	false	27498279	27498344	ATREP4	RC/Helitron
AT1TE34160	false	10564719	10564875	ATREP19	DNA
AT1TE23955	true	7433495	7433653	ATCOPIA57	LTR/Copia
AT1TE65530	false	19822278	19822379	ATREP10D	RC/Helitron
AT1TE79835	false	24281394	24281480	HELITRONY3	RC/Helitron
AT1TE54980	true	16676973	16677131	ATCOPIA41	LTR/Copia
AT1TE72115	false	21856786	21856929	ATREP19	DNA
AT1TE31410	true	9756656	9756816	ATCOPIA6	LTR/Copia
AT1TE65075	false	19688610	19688768	ATLINE1_3A	LINE/L1
AT1TE74570	true	22606311	22606462	ATREP5	RC/Helitron
AT1TE52290	false	15887701	15887859	ATHATN1	DNA/HAT
AT1TE51495	true	15641931	15642064	HELITRONY1B	RC/Helitron
AT1TE57560	false	17376313	17378567	ATREP15	RC/Helitron
AT1TE07780	false	2383162	2383320	ATTIRX1D	DNA
AT1TE68750	false	20819274	20819432	ATREP10D	RC/Helitron
AT1TE65220	true	19731727	19731887	HELITRON3	RC/Helitron
AT1TE01390	true	431310	431469	TAG2	DNA/HAT
AT1TE23355	true	7227970	7228129	ATREP2	RC/Helitron
AT1TE44850	true	13699519	13699678	ATREP4	RC/Helitron
AT1TE56335	false	17008346	17008503	BRODYAGA1	DNA/MuDR
AT1TE72860	true	22063743	22063902	ARNOLD1	DNA/MuDR
AT1TE46100	true	14034543	14034702	ATREP4	RC/Helitron
AT1TE87040	true	26581283	26581442	VANDAL8	DNA/MuDR
AT1TE96860	true	29612248	29612406	TAG2	DNA/HAT
AT1TE47195	true	14353180	14353977	ATHILA7A	LTR/Gypsy
AT1TE68325	true	20689289	20689340	ATCOPIA57	LTR/Copia
AT1TE41975	true	12894519	12894687	BRODYAGA1A	DNA/MuDR
AT1TE40730	false	12514633	12514799	ATGP8	LTR/Gypsy
AT1TE46595	false	14185991	14186048	VANDAL7	DNA/MuDR
AT1TE44040	true	13460097	13460265	RathE1_cons	RathE1_cons
AT1TE41890	true	12870145	12870313	ATMU11	DNA/MuDR
AT1TE43675	true	13355093	13355234	ATREP10D	RC/Helitron
AT1TE16580	true	5123634	5123802	BRODYAGA1A	DNA/MuDR
AT1TE54570	false	16548186	16548352	ATMU7	DNA/MuDR
AT1TE04725	true	1444364	1444532	ATDNAI27T9B	DNA/MuDR
AT1TE51930	true	15765739	15765907	ATDNAI27T9B	DNA/MuDR
AT1TE47570	true	14449179	14451469	ATHILA2	LTR/Gypsy
AT1TE74360	true	22542139	22542307	RathE1_cons	RathE1_cons
AT1TE22755	true	7037377	7037487	ATREP3	RC/Helitron
AT1TE50315	true	15280449	15289511	ATLANTYS2	LTR/Gypsy
AT1TE55460	true	16779431	16779507	ATREP3	RC/Helitron
AT1TE16505	true	5100442	5100610	VANDAL6	DNA/MuDR
AT1TE15660	false	4835450	4835616	ATCOPIA88	LTR/Copia
AT1TE78110	true	23723924	23724092	HELITRONY3A	RC/Helitron
AT1TE01905	true	587327	587409	ATREP4	RC/Helitron
AT1TE78200	true	23756840	23756961	BRODYAGA2	DNA/MuDR
AT1TE72550	false	21972536	21972703	RathE1_cons	RathE1_cons
AT1TE55440	true	16774470	16774490	BRODYAGA1A	DNA/MuDR
AT1TE44800	true	13687571	13687739	ATREP10B	RC/Helitron
AT1TE31585	false	9815774	9815821	HELITRONY3	RC/Helitron
AT1TE40785	true	12527192	12527287	BRODYAGA1A	DNA/MuDR
AT1TE35600	true	11020316	11020416	ATREP10D	RC/Helitron
AT1TE84750	false	25860277	25860444	HELITRONY3	RC/Helitron
AT1TE60195	true	18164776	18164944	VANDAL20	DNA/MuDR
AT1TE51380	false	15618121	15618170	ATLINEIII	LINE/L1
AT1TE38905	true	12010328	12010496	ATHATN4	DNA/HAT
AT1TE52570	true	15947178	15949473	ATREP3	RC/Helitron
AT1TE55330	false	16751409	16751576	HELITRONY1D	RC/Helitron
AT1TE43335	true	13259027	13259196	VANDAL20	DNA/MuDR
AT1TE47000	false	14308293	14308460	ATREP5	RC/Helitron
