Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR492346,2012-05-31 14:52:53,2012-05-31 14:52:53,35109701,7092159602,35109701,202,4363,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492346/SRR492346.sra,SRX144975,Pog-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072546,SAMN00012768,simple,3702,Arabidopsis thaliana,Pog-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,4B4E9DAD05FAB7CD83AE167DB044CB6E,80FF46513DD6E2EA97D21148B03EB940
SRR492350,2012-05-31 14:52:53,2012-05-31 14:52:53,68040862,13744254124,68040862,202,9191,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492350/SRR492350.sra,SRX144979,Pu2-7_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072551,SAMN00012773,simple,3702,Arabidopsis thaliana,Pu2-7,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,FA4E83EBCFECF472E97D79BFFA6084A9,E5901B629B02D81CC56DDA865B0A7E36
SRR492351,2012-05-31 14:52:53,2012-05-31 14:52:53,22411582,4527139564,22411582,202,3160,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492351/SRR492351.sra,SRX144980,Pu2-8_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311351,SAMN00990177,simple,3702,Arabidopsis thaliana,Pu2-8,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,A4FE5CFEAAF1D66822C64B5B54CFC57D,E628B0A96F21CA162642C87EEAAB92DE
SRR492347,2012-05-31 14:52:53,2012-05-31 14:52:53,45926158,9277083916,45926158,202,5955,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492347/SRR492347.sra,SRX144976,Pro-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072547,SAMN00012769,simple,3702,Arabidopsis thaliana,Pro-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,450BD6BD85BEB0C0B891977BBD2A07CE,9A782E8A8416261DA48170AAD780BC1D
SRR492355,2012-05-31 14:52:53,2012-05-31 14:52:53,42445482,8573987364,42445482,202,5566,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492355/SRR492355.sra,SRX144984,Rak-2_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311352,SAMN00990178,simple,3702,Arabidopsis thaliana,Rak-2,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,6C43FFE69BE151F631952786794338B9,43B3DB432F27CFFF647CEE805E8A7D8B
SRR492353,2012-05-31 14:52:53,2012-05-31 14:52:53,14342478,2897180556,14342478,202,1882,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492353/SRR492353.sra,SRX144982,Ra-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072553,SAMN00012775,simple,3702,Arabidopsis thaliana,Ra-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,FA6FD6E1208CDF91D38E5A6BB6A5EAC6,BE1322A5319997B8E27FBC181BAFE3FF
SRR492354,2012-05-31 14:52:53,2012-05-31 14:52:53,15179866,3066332932,15179866,202,1987,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492354/SRR492354.sra,SRX144983,Ragl-1_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072554,SAMN00012776,simple,3702,Arabidopsis thaliana,Ragl-1,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,7A4D030C450CA0F7EB6027FD5686D41D,1C51B5A36D5D9048ED61654848BCEA68
SRR492352,2012-05-31 14:52:53,2012-05-31 14:52:53,77458423,15646601446,77458423,202,10519,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492352/SRR492352.sra,SRX144981,Qar-8a_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072552,SAMN00012774,simple,3702,Arabidopsis thaliana,Qar-8a,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,31D81C1DDAD50B74490E6D2E146E95FA,F74779FDA1858420F2D464CAEFF1B48B
SRR492359,2012-05-31 14:52:53,2012-05-31 14:52:53,77733866,15702240932,77733866,202,10424,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492359/SRR492359.sra,SRX144988,Rennes-1_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072557,SAMN00012779,simple,3702,Arabidopsis thaliana,Rennes-1,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,619B4DD630BA30230452518DD372AB0D,EC170A8D0F35AD136B2256A155E837FF
SRR492357,2012-05-31 14:52:53,2012-05-31 14:52:53,62252367,12574978134,62252367,202,8230,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492357/SRR492357.sra,SRX144986,Ren-1_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072556,SAMN00012778,simple,3702,Arabidopsis thaliana,Ren-1,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,79340223722770DAF84ACB04D9B27AF9,59A3BB825F8E967CB979B3731773BAFA
SRR492361,2012-05-31 14:52:53,2012-05-31 14:52:53,37548720,7584841440,37548720,202,4648,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492361/SRR492361.sra,SRX144990,Rld-1_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072559,SAMN00012781,simple,3702,Arabidopsis thaliana,Rld-1,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,C2A67F28F1238182E20BAE63448E54D5,384723DAD22EC96870F893DDBA7BC76F
SRR492362,2012-05-31 14:52:53,2012-05-31 14:52:53,34579526,6985064252,34579526,202,4403,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492362/SRR492362.sra,SRX144991,RMX-A02_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311419,SAMN00990245,simple,3702,Arabidopsis thaliana,RMX-A02,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,BB9E067E8A0C8B0212A52D9EF9CD08E6,5FDB6EAACF7C76B2E1A728C5459388BF
SRR492358,2012-05-31 14:52:53,2012-05-31 14:52:53,43487490,8784472980,43487490,202,5690,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492358/SRR492358.sra,SRX144987,Ren-11_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311353,SAMN00990179,simple,3702,Arabidopsis thaliana,Ren-11,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,DE54C73A57C44AF9B8B2B7525DBFE1DC,89A1D2E7160040C922B80D7CBC2E8CF3
SRR492356,2012-05-31 14:52:53,2012-05-31 14:52:53,61984743,12520918086,61984743,202,8409,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492356/SRR492356.sra,SRX144985,Rd-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072555,SAMN00012777,simple,3702,Arabidopsis thaliana,Rd-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,4B2FBA962CC725ADAE0096252BBC4A2D,800F9F27688100E8FD34AC9A39BEE238
SRR492365,2012-05-31 14:52:53,2012-05-31 14:52:53,25502141,5151432482,25502141,202,3248,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492365/SRR492365.sra,SRX144994,Rou-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072562,SAMN00012784,simple,3702,Arabidopsis thaliana,Rou-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,8244843509B820E389F3AA59B03240A2,176118F706DCBD982C273B4C2F7E1F81
SRR492363,2012-05-31 14:52:53,2012-05-31 14:52:53,47972385,9690421770,47972385,202,6364,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492363/SRR492363.sra,SRX144992,RMX-A180_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311354,SAMN00990180,simple,3702,Arabidopsis thaliana,RMX-A180,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,26A8043DE00618C3711852962DBE254E,C7846CF185DFA3C2A772FD5751338B40
SRR492367,2012-05-31 14:52:53,2012-05-31 14:52:53,61805295,12484669590,61805295,202,8017,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492367/SRR492367.sra,SRX144996,RRS-7_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311355,SAMN00990181,simple,3702,Arabidopsis thaliana,RRS-7,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,1CCD5E48213F981DBF5225B0E3E1AA03,26B17DC52F644103A43B5C6243DB9124
SRR492368,2012-05-31 14:52:53,2012-05-31 14:52:53,36078269,7287810338,36078269,202,4730,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492368/SRR492368.sra,SRX144998,Sap-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311357,SAMN00990183,simple,3702,Arabidopsis thaliana,Sap-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,7434B1504E2C5C4302E4531958E6B02D,AA73DD2566BF683DF58B6BE827CA89E4
SRR492364,2012-05-31 14:52:53,2012-05-31 14:52:53,32738790,6613235580,32738790,202,4056,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492364/SRR492364.sra,SRX144993,Rome-1_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072561,SAMN00012783,simple,3702,Arabidopsis thaliana,Rome-1,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,8BF41B6FBB9D0B4A7559B89F8DF0B7F6,74A18A3A2DF4C7E2F95FBECBFA1A70E1
SRR492370,2012-05-31 14:52:53,2012-05-31 14:52:53,35805090,7232628180,35805090,202,4454,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492370/SRR492370.sra,SRX145000,Seattle-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311359,SAMN00990185,simple,3702,Arabidopsis thaliana,Seattle-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,65608B3731113CCCF885EC9323AD3956,7D1CA2DD2FA438D97A6B0078BF56A638
SRR492337,2012-05-31 14:52:53,2012-05-31 14:52:53,41536831,8390439862,41536831,202,5177,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492337/SRR492337.sra,SRX144965,Ob-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072536,SAMN00012758,simple,3702,Arabidopsis thaliana,Ob-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,B4727F0D8887369DE2D8273E94D198A2,4DD26B207536761DE19013F53845FBA3
SRR492360,2012-05-31 14:52:53,2012-05-31 14:52:53,37524142,7579876684,37524142,202,4783,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492360/SRR492360.sra,SRX144989,Rhen-1_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072558,SAMN00012780,simple,3702,Arabidopsis thaliana,Rhen-1,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,300AB784C5940C020E19EC34E5A70EC1,3682A2B10C7AD5728744EB1EF4B81CE7
SRR492369,2012-05-31 14:52:53,2012-05-31 14:52:53,13228869,2672231538,13228869,202,1734,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492369/SRR492369.sra,SRX144999,Se-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311358,SAMN00990184,simple,3702,Arabidopsis thaliana,Se-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,866694F34DFEB93E51C478CF7DAFDDDA,1757E4DC27F79DDEDD522BA0DE9B8E16
SRR492366,2012-05-31 14:52:53,2012-05-31 14:52:53,37685276,7612425752,37685276,202,4791,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492366/SRR492366.sra,SRX144995,RRS-10_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311420,SAMN00990246,simple,3702,Arabidopsis thaliana,RRS-10,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,A3D16D0782534F56856FAC55D7835C36,E60DEA83CFB95936985299B4A377BCC9
SRR492334,2012-05-31 14:52:53,2012-05-31 14:52:53,35000361,7070072922,35000361,202,4345,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492334/SRR492334.sra,SRX144962,Np-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072533,SAMN00012755,simple,3702,Arabidopsis thaliana,Np-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,AF9AC7EC70FDB2907A706BCDC89C2153,113709BB397FCE7AA2B886C82974A11C
SRR492336,2012-08-15 08:57:08,2012-08-15 08:57:08,21172506,2138423106,0,101,736,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492336/SRR492336.sra,SRX144964,Nz-1_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311418,SAMN00990244,simple,3702,Arabidopsis thaliana,Nz-1,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,A6BAFF060C9BA8583D0BDC3B7FFBA153,365EFE340EBEDF12C46943C60AB84225
SRR492335,2012-05-31 14:52:53,2012-05-31 14:52:53,43973176,8882581552,43973176,202,5446,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492335/SRR492335.sra,SRX144963,Nw-0_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072534,SAMN00012756,simple,3702,Arabidopsis thaliana,Nw-0,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,76B1C3E47AFFACBDB406F411AB0420D9,ABBCA8CCBEE67AD266C4E98A842BA4CE
SRR492330,2012-05-31 14:52:53,2012-05-31 14:52:53,54262550,10961035100,54262550,202,6991,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492330/SRR492330.sra,SRX144958,Neo-6_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072530,SAMN00012752,simple,3702,Arabidopsis thaliana,Neo-6,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,148198AB973641AAD3DEA576DB4B02A4,E0464C63B468D5A4F0B7E372FE0395CD
SRR492329,2012-05-31 14:52:53,2012-05-31 14:52:53,54605552,11030321504,54605552,202,7208,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492329/SRR492329.sra,SRX144957,NC-6_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311346,SAMN00990172,simple,3702,Arabidopsis thaliana,NC-6,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,998081CFDF49E5798049F6E748347000,B6F86E6277155A9AFC3C61B3918BBC5E
SRR492332,2012-05-31 14:52:53,2012-05-31 14:52:53,99595876,20118366952,99595876,202,13509,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492332/SRR492332.sra,SRX144960,NFA-8_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS072531,SAMN00012753,simple,3702,Arabidopsis thaliana,NFA-8,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,D8F95CB8127A57888CD580A474D192E3,72B91F6D4CCEB60279B8787B5FF52397
SRR492331,2012-05-31 14:52:53,2012-05-31 14:52:53,108756675,21968848350,108756675,202,14230,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR492/SRR492331/SRR492331.sra,SRX144959,NFA-10_gDNA,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP000248,PRJNA30811,21646520,30811,SRS311347,SAMN00990173,simple,3702,Arabidopsis thaliana,NFA-10,,,,,,,no,,,,,The Salk Institute for Biological Studies,SRA012474,,public,51984BD0F5C7825D2C408D9FF67B1C9B,1FFFC4F8523ED197486C5EB45807D912
